paper_id,title,venue_year,figures_reviewed,figure_count,evidence_grammar,visual_features,applied_to,backend_decision,do_not_copy,official_url
L01,Deep Reinforcement Learning at the Edge of the Statistical Precipice,NeurIPS 2021,Fig. 1–3,3,用区间估计、性能剖面和分布替代单一均值排名,直接标注效应、清晰基准线、低装饰密度,"M01,M02,S01,S09",Python分布图；Origin水平效应图,不复制原图布局、字体、色值或算法命名,https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html
L02,POMO: Policy Optimization with Multiple Optima for Reinforcement Learning,NeurIPS 2020,Fig. 1–3,3,训练曲线同时讨论收敛速度、稳定性与解质量,共同训练预算横轴、方法曲线直接比较、简洁图例,"M06,M07,S06",Python对齐3000回合；Origin点区间摘要,不复制其曲线数据、模型结构图或装饰元素,https://proceedings.neurips.cc/paper_files/paper/2020/file/f231f2107df69eab0a3862d50018a9b2-Paper.pdf
L03,Leveraging Procedural Generation to Benchmark Reinforcement Learning,ICML 2020,Fig. 1–3,3,训练环境与未见测试环境分离，泛化结论按测试分布组织,环境分组、训练规模与测试表现分开表达,"M08,S04",Origin地图级区间；Python场景热力图,不将16/20/24误称未训练规模泛化,https://proceedings.mlr.press/v119/cobbe20a.html
L04,Empirical Design in Reinforcement Learning,JMLR 2024,Fig. 1–3,3,实验单位、重复运行和不确定性必须按层级解释,区间而非伪精确点值，明确实验层级与样本量,"M01,M02,M08,M10",地图作为推断单位，任务点仅描述,不把任务或种子当独立地图扩大样本量,https://www.jmlr.org/papers/v25/23-0183.html
L05,"Attention, Learn to Solve Routing Problems!",ICLR 2019,Fig. 1–3,3,解质量、推理代价和跨问题规模分别报告,算法颜色一致、路线示例与定量表证据分离,"M05,S02,V01",Origin ECDF/Pareto；Python固定路线,不复制网络结构或路线实例,https://openreview.net/forum?id=ByxBFsRqYm
L06,Reinforcement Learning for Solving the Vehicle Routing Problem,NeurIPS 2018,Fig. 2–4,3,性能分布、不同规模结果和运行时间共同支撑路线规划结论,分布图与规模曲线并用，时间轴明确单位,"M01,M05,S04",Python半眼；Origin对数ECDF,不复制其任务坐标或默认调色板,https://papers.nips.cc/paper_files/paper/2018/file/9fb4651c05b2ed70fba5afe0b039a550-Paper.pdf
L07,Neural Combinatorial Optimization with Reinforcement Learning,ICLR Workshop 2017,Fig. 1–3,3,学习式求解器同时报告解质量、主动搜索过程和计算时间,学习轨迹与最终解示例分开，轴单位清晰,"M06,S02,S03",Python训练曲线；Origin代价权衡,不复制其TSP样例或模型图,https://research.google/pubs/neural-combinatorial-optimization-with-reinforcement-learning-2/
L08,NeuroLKH: Combining Deep Learning Model with Lin-Kernighan-Helsgaun Heuristic,NeurIPS 2021,Fig. 1–3,3,学习模型与传统求解器以质量—时间权衡比较,方法流程、时间缩放与gap结果互补,"S02,S03",Origin散点与区间，标签人工避让,不复制其求解器流程图或表格样式,https://proceedings.nips.cc/paper_files/paper/2021/file/3d863b367aa379f71c7afc0c9cdca41d-Paper.pdf
L09,Sym-NCO: Leveraging Symmetricity for Neural Combinatorial Optimization,NeurIPS 2022,Fig. 1–3,3,机制贡献通过主结果、泛化和消融分别闭环,相同颜色家族、模块消融与完整模型直接配对,"M10,S06",Origin水平消融效应；Python完整训练过程,不复制其对称性示意或实验实例,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0cddb777d3441326544e21b67f41bdc8-Abstract-Conference.html
L10,DeepACO: Neural-enhanced Ant Systems for Combinatorial Optimization,NeurIPS 2023,Fig. 1–3,3,学习方法与元启发式同时比较性能、时间和跨实例表现,散点权衡、分层任务结果、低饱和算法色,"M05,S01,S02",Origin ECDF/Pareto；Python性能剖面,不复制蚁群流程图或特定颜色,https://proceedings.neurips.cc/paper_files/paper/2023/hash/883105b282fe15275991b411e6b200c5-Abstract-Conference.html
L11,Neural Multi-Objective Combinatorial Optimization with Diversity Enhancement,NeurIPS 2023,Fig. 1–3,3,多目标结果用Pareto关系和多维指标组织，不压缩为雷达面积,非支配前沿、目标空间散点、明确参考方向,"S02,S07,S08",Origin Pareto/点阵；Python敏感性热力图,不复制其Pareto数据、符号或算法标签,https://proceedings.neurips.cc/paper_files/paper/2023/file/7b5ae891000049b91b3b62de596b1560-Paper-Conference.pdf
L12,BQ-NCO: Bisimulation Quotienting for Efficient Neural Combinatorial Optimization,NeurIPS 2023,Fig. 1–3,3,效率改进与解质量必须同图或邻近证据解释,效率—质量散点、参数/规模分组、简洁注释,"M05,S02",Origin对数时间轴与非支配标签,不复制其状态压缩示意,https://proceedings.neurips.cc/paper_files/paper/2023/hash/f445ba15f0f05c26e1d24f908ea78d60-Abstract-Conference.html
L13,Adaptive Multi-Distribution Knowledge Distillation for Neural Combinatorial Optimization,NeurIPS 2022,Fig. 1–3,3,跨分布泛化与训练动态分开呈现，并用一致算法标识,分布分组、训练曲线、消融对照,"M08,S06",Origin迁移区间；Python训练轨迹,不复制蒸馏结构或分布配色,https://proceedings.neurips.cc/paper_files/paper/2022/file/ca70528fb11dc8086c6a623da9f3fee6-Paper-Conference.pdf
L14,Efficient Meta Neural Heuristic for Multi-Objective Combinatorial Optimization,NeurIPS 2023,Fig. 1–3,3,多目标性能、适应效率和前沿质量分别展示,目标空间散点、效率曲线、分组比较,"S02,S07,S08",Origin点阵/Pareto；Python连续敏感性图,不复制其元学习流程或前沿数据,https://proceedings.neurips.cc/paper_files/paper/2023/hash/b1efde53be364a73914f58805a001731-Abstract-Conference.html
L15,Deep Reinforcement Learning for Zero-Shot Coverage Path Planning With Mobile Robots,IEEE/CAA JAS 2025,"Fig. 1, 4, 9",3,未见地图、消融与固定地图路线共同解释零样本规划,地图语境、路线叠加、场景与统计证据分离,"M08,V01,V02",Origin迁移效应；Python/MATLAB固定路线,不复制其栅格地图、路线、颜色或机器人任务定义,https://www.ieee-jas.com/en/article/doi/10.1109/JAS.2024.125064
L16,PRIMAL: Pathfinding via Reinforcement and Imitation Multi-Agent Learning,IEEE RA-L 2019,"Fig. 1, 3, 5",3,成功率、路径代价和场景规模以不同证据图回答,成功/失败编码、规模趋势、固定地图示例,"M02,S04,S05",Origin安全效应；Python分层与失败热力图,不复制多智能体地图或图标,https://publications.ri.cmu.edu/primal-pathfinding-via-reinforcement-and-imitation-multi-agent-learning
