figure,tier,panel,conclusion,source_table,source_sha256,filter,aggregation_unit,error_type,coordinate_unit,output_name
fig01_study_design,main,a,两路交界机场与固定巡检点任务示意,source_data\fig01_study_design\panel_a.csv,872bcc8946fc3ab4e2d77c2b81150a4293555e89a71b6433edbb88cc6ae05095,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务输入示意,不适用,地图坐标/优先级,figures/fig01_study_design
fig01_study_design,main,b,24张未见合成地图与8张真实DSM概览,source_data\fig01_study_design\panel_b.csv,a68cea423c2ff4b0655e7443417fc0ec72b5bd19e42c252f78ae41fccbfaa2c0,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图资产,不适用,相对高程,figures/fig01_study_design
fig01_study_design,main,c,"21,648条评价矩阵",source_data\fig01_study_design\panel_c.csv,51eacacc5811783c7958085a8facf16e828612a2609ed0b25854d7a6afbe619f,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,评价家庭,精确计数,结果行,figures/fig01_study_design
fig01_study_design,main,d,五条指标证据链,source_data\fig01_study_design\panel_d.csv,7908a1d20176bd789fd605f3b3dedb2200fb9872a420a1ce28911595e022a8b7,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,证据维度,不适用,指标树,figures/fig01_study_design
fig02_integrated_score,main,a,D1-D7,source_data\fig02_integrated_score\panel_a.csv,434a2fbedd3786e0faab468580dbc9278948b4605707d04e0c04405dffdf4388,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型,无；展示冻结点估计,归一化得分0–1,figures/fig02_integrated_score
fig02_integrated_score,main,b,100分综合得分,source_data\fig02_integrated_score\panel_b.csv,179795b8d2201f445b3f8dab2c7bc236aefedfcdaf2d626d9e6f008617eb9f77,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型,无；展示冻结点估计,综合分0–100,figures/fig02_integrated_score
fig02_integrated_score,main,c,层级bootstrap,source_data\fig02_integrated_score\panel_c.csv,19ae4d813582b33639d96de12e06ed3bdb2cf4b0ef3c035cb574904e4dfa12f0,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图外层bootstrap重复,95%分位数区间,分,figures/fig02_integrated_score
fig02_integrated_score,main,d,下限×权重敏感性,source_data\fig02_integrated_score\panel_d.csv,f52f424891b4dffc485c83aba30bc4e4efb3879c0c8739ecdb61cf9b09ddf909,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,下限×权重配置,第一名频率,比例,figures/fig02_integrated_score
fig02_integrated_score,main,e,维度贡献,source_data\fig02_integrated_score\panel_e.csv,950ba6ba2baba4b344fd69abb77f9017237b852c5b7e9c6d5a24865e5372e7c7,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,效应维度,加权贡献,分,figures/fig02_integrated_score
fig03_operational_tradeoffs,main,a,安全加权覆盖分布,source_data\fig03_operational_tradeoffs\panel_a.csv,f467b073bf40a8033a49b1ef6aa48ba14c54d8b0219bbee69409bfd18978d94a,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图,地图分布/IQR,比率,figures/fig03_operational_tradeoffs
fig03_operational_tradeoffs,main,b,地图级多指标效应,source_data\fig03_operational_tradeoffs\panel_b.csv,acce4a2bd0662dea39dc9606b835a097ff30d58a9744eaf18a112b056f978e7b,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图配对,"10,000次地图bootstrap 95%区间",绝对差,figures/fig03_operational_tradeoffs
fig03_operational_tradeoffs,main,c,资源与任务时间,source_data\fig03_operational_tradeoffs\panel_c.csv,2aa3b5a84fdd2d5ef5b0ce601b7ac650d5e96b88a1369c5aa034393df3f345f4,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,安全路线→任务→地图,地图均值,Wh/m/s及安全率,figures/fig03_operational_tradeoffs
fig03_operational_tradeoffs,main,d,在线规划ECDF,source_data\fig03_operational_tradeoffs\panel_d.csv,ad1365e1180c0d57d84af719dcc46c6097a4528b153b8bf4a5d37b8809677b1f,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,评价结果,ECDF,秒,figures/fig03_operational_tradeoffs
fig03_operational_tradeoffs,main,e,覆盖-时间Pareto,source_data\fig03_operational_tradeoffs\panel_e.csv,fd78d8c12f0935777475e2bf9be8f5fb71d5bcf94d4f5c636e56e671e0e04c1d,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图→模型×域,点大小编码安全率,秒/比率,figures/fig03_operational_tradeoffs
fig04_training,main,a,五种子收敛,source_data\fig04_training\panel_a.csv,434ada2bff6acaf5c053cab21b17d77a9a88caf79b3a42e4127c44a68e4528bc,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子×交互步,中位趋势+IQR,环境交互数/覆盖率,figures/fig04_training
fig04_training,main,b,AUC,source_data\fig04_training\panel_b.csv,efef519ba8c9704335c923b21ad3ff87d842c0f9a09233214f0aefa11c0148ee,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子,五种子散点,AUC,figures/fig04_training
fig04_training,main,c,阈值效率,source_data\fig04_training\panel_c.csv,a0f3840f131ab6e6d6ff798baf21716d11d52178d2c09a6ced83ac38b7d56ae2,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子,五种子散点,归一化效率,figures/fig04_training
fig04_training,main,d,训练稳定性,source_data\fig04_training\panel_d.csv,a9eae40a8cae2b410681e08a79a05ebbcf2afa9add74aa96a34b47b215f25f60,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子,跨种子一致性,归一化稳定性,figures/fig04_training
fig04_training,main,e,PPO更新诊断,source_data\fig04_training\panel_e.csv,bef175c4ad7966dff8d343990d61fb9b6e13a0ece70c86708762422b17efd853,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,PPO训练种子尾段,种子均值,无量纲/对数轴,figures/fig04_training
fig05_ablation,main,a,总体效应,source_data\fig05_ablation\panel_a.csv,5c76c42da4255c02ac9270635da045edad148c2960c9ea50144bacfa2aaa49a2,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图配对,"10,000次地图bootstrap 95%区间+Holm",覆盖率差,figures/fig05_ablation
fig05_ablation,main,b,优先级,source_data\fig05_ablation\panel_b.csv,b81b8406b334d03397462b463e2b0d3847b64d82af02289d23be1f1e41114fa2,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型,描述性均值,覆盖率,figures/fig05_ablation
fig05_ablation,main,c,资源塑形,source_data\fig05_ablation\panel_c.csv,4333939862209c79931978e8c9e243edd2ffe7d83d323443d4feb4db30ffa15d,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→约束类型,描述性均值,覆盖率/利用率,figures/fig05_ablation
fig05_ablation,main,d,域随机化,source_data\fig05_ablation\panel_d.csv,cfa5588d9f3a7daa411ae0c2d9af01b63fd6f58f78bc5baccf7ec3fc70808e58,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→扰动条件,相对标称下降,比率,figures/fig05_ablation
fig05_ablation,main,e,返航储备,source_data\fig05_ablation\panel_e.csv,1b990d456d27fb6d17f741df1a9b865d84db3d0c0aa9015e33a809cc19c6fa53,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,隐藏误差任务,描述性均值,比率,figures/fig05_ablation
fig06_generalization_robustness_routes,main,a,未见合成地图,source_data\fig06_generalization_robustness_routes\panel_a.csv,3838119bb4e8eabd165925f21f7b1e49d39b28d13d88721a0a33ca3f247fa845,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,24张合成地图,地图分布,覆盖率,figures/fig06_generalization_robustness_routes
fig06_generalization_robustness_routes,main,b,真实DSM迁移,source_data\fig06_generalization_robustness_routes\panel_b.csv,3458472af438abcfdb8f2c0145ce37d201ac08f727651f2fc9856a6a71aaa802,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,8张DSM,地图分布,覆盖率,figures/fig06_generalization_robustness_routes
fig06_generalization_robustness_routes,main,c,扰动热力图,source_data\fig06_generalization_robustness_routes\panel_c.csv,0a543ebe37bf8c4147ad860aceaa11a1d5e4f83a590a224c8efed7b43c5a25fa,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×扰动,条件均值,覆盖下降,figures/fig06_generalization_robustness_routes
fig06_generalization_robustness_routes,main,d,最差表现,source_data\fig06_generalization_robustness_routes\panel_d.csv,89d3dac7bb241cd4cd2cf923127dd2baab05d5225a3c64dcc286c5a7dacb37b5,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型,平均/最差/一致性,保持率,figures/fig06_generalization_robustness_routes
fig06_generalization_robustness_routes,main,e,固定代表路线,source_data\fig06_generalization_robustness_routes\panel_e.csv,b4cff6aeab9dc770f2661978d6ceb47389b5a15a7f7a8e14c9a44a314fa826da,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,固定任务×模型,失败/缺失原样保留,地图坐标/Wh/m/s,figures/fig06_generalization_robustness_routes
figS01_audit,supplementary,a,数据与审计链,source_data\figS01_audit\panel_a.csv,b389f486858c126565bc9d43fe1e3ac177c4be092cd7182b34c73b304c445eec,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,评价家庭,精确计数,结果行,figures/figS01_audit
figS01_audit,supplementary,b,数据与审计链,source_data\figS01_audit\panel_b.csv,7e687eecb177851b80238b92997c2f62b50c8f0584927160d6b61dd3a5da5fad,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×评价家庭,精确计数,结果行,figures/figS01_audit
figS01_audit,supplementary,c,数据与审计链,source_data\figS01_audit\panel_c.csv,b6f33404eb02d2931bba8e66be612f679e812723d15e155d54f320ae0523590a,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图/任务/种子,精确计数,数量,figures/figS01_audit
figS01_audit,supplementary,d,数据与审计链,source_data\figS01_audit\panel_d.csv,aa8fb65fde8b9b282869fef304f8e337f3634135cbd2e96de1237eb6f5ae159c,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,冻结审计项,哈希回读,状态,figures/figS01_audit
figS02_scenarios,supplementary,a,场景分层热力图,source_data\figS02_scenarios\panel_a.csv,5eeea6318e0e570520a2cee3e6cfcd3b0ca84c9ca6296f5a115b78b9f27c47a1,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型×节点数,描述性均值,覆盖率,figures/figS02_scenarios
figS02_scenarios,supplementary,b,场景分层热力图,source_data\figS02_scenarios\panel_b.csv,e50e6b215da17f1c5e29e1fdfca73c12b516293300c45d9f339bf8a521adec77,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型×难度,描述性均值,覆盖率,figures/figS02_scenarios
figS02_scenarios,supplementary,c,场景分层热力图,source_data\figS02_scenarios\panel_c.csv,72f3da05c6e017c90b15ddf86233397911341fad22950f24091eeaa7afe7f7ab,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型×约束,描述性均值,覆盖率,figures/figS02_scenarios
figS02_scenarios,supplementary,d,场景分层热力图,source_data\figS02_scenarios\panel_d.csv,1030eee8839edf45c3ebfc23e36af55380eebad690fd0a380aec8e884b51a5af,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型×布局,描述性均值,覆盖率,figures/figS02_scenarios
figS03_baselines,supplementary,a,完整传统基线,source_data\figS03_baselines\panel_a.csv,2258bf6bce908fcf401d2f4c60eb37aed5ad7fc088a58e96dbf2a5d77a923dcb,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→规划种子→模型,均值+IQR,覆盖率,figures/figS03_baselines
figS03_baselines,supplementary,b,完整传统基线,source_data\figS03_baselines\panel_b.csv,a3677d4e47d42d1cba848ba15730d7bf368124d5450755846b683bf69c0c1db2,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,任务→模型,regret上下界,区间,figures/figS03_baselines
figS03_baselines,supplementary,c,完整传统基线,source_data\figS03_baselines\panel_c.csv,26fb4882c46f1045aefd2ed91cbab766ebd47c95ca9d8947a1f8173cac6666ab,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,规划结果,种子/域散点,秒,figures/figS03_baselines
figS03_baselines,supplementary,d,完整传统基线,source_data\figS03_baselines\panel_d.csv,35a7c4f19de293e33ce321c100c47585d5a79868b38c138f8192f29afcd18af5,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,MILP任务,状态频率,比率,figures/figS03_baselines
figS04_training_all,supplementary,a,完整训练曲线,source_data\figS04_training_all\panel_a.csv,e599f3eeaf809e2c7fee2dd6280cfe9b73d76dc56cf7f26806250a5e041aa455,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子×交互步,跨种子中位趋势,覆盖率,figures/figS04_training_all
figS04_training_all,supplementary,b,完整训练曲线,source_data\figS04_training_all\panel_b.csv,60ff590857db9f32565e3cf1807fe8df869c9d2aae2760084c26fcfbde51a144,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,训练种子×交互步,跨种子中位趋势,返航率,figures/figS04_training_all
figS05_score_sensitivity,supplementary,a,综合得分敏感性全集,source_data\figS05_score_sensitivity\panel_a.csv,54e7fd81d701f555bb4d0cb344643d6be612af80e254efac124b76db6a0994f5,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,下限×权重,第一名频率,比例,figures/figS05_score_sensitivity
figS05_score_sensitivity,supplementary,b,综合得分敏感性全集,source_data\figS05_score_sensitivity\panel_b.csv,9b2b4e2f3190598670a926ec24f5c92bf9b10f684feb601a9c411435c01101bf,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,下限×权重,诊断性第一名频率,比例,figures/figS05_score_sensitivity
figS05_score_sensitivity,supplementary,c,综合得分敏感性全集,source_data\figS05_score_sensitivity\panel_c.csv,b8a71380827f4dcef1eb48c9577c559739bb0b49c6932d25c1077df79356aaab,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,权重配置,分布,分,figures/figS05_score_sensitivity
figS05_score_sensitivity,supplementary,d,综合得分敏感性全集,source_data\figS05_score_sensitivity\panel_d.csv,69033c604e52663c9bf810be78a36d0c0fd09503cfda698500b0fb4fa910f401,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,地图/训练种子配对,Holm校正+方向一致性,效应差,figures/figS05_score_sensitivity
figS06_ablation_maps,supplementary,a,消融地图级全集,source_data\figS06_ablation_maps\panel_a.csv,a9acc00154806f056aa131e30c4ec7c68de4b1d47c8c4f8d18ed570a34553a4e,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,24张合成地图,逐地图差值,覆盖率差,figures/figS06_ablation_maps
figS06_ablation_maps,supplementary,b,消融地图级全集,source_data\figS06_ablation_maps\panel_b.csv,b8588afeafce871bc1742dddddb2b075b897220bb26664f6c893d2e29ec17ce7,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,8张DSM,逐地图差值,覆盖率差,figures/figS06_ablation_maps
figS06_ablation_maps,supplementary,c,消融地图级全集,source_data\figS06_ablation_maps\panel_c.csv,bb0adbb3f41e0d801ab8eca065c80fe114428b056cfdbe4787de14e84069d5ee,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×终止原因,频率,比例,figures/figS06_ablation_maps
figS06_ablation_maps,supplementary,d,消融地图级全集,source_data\figS06_ablation_maps\panel_d.csv,0f03d15ee61f20c8547143ab65e460c2b0b7dab8b89697d68e140ac76afc404c,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型,描述性均值,比率,figures/figS06_ablation_maps
figS07_robustness_failures,supplementary,a,鲁棒性与失败图谱,source_data\figS07_robustness_failures\panel_a.csv,66c77bdd749085956a6f089762a7f8c1b6fd2fa8a012b639d7d914fcbe1de4c8,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×扰动,条件均值,安全率,figures/figS07_robustness_failures
figS07_robustness_failures,supplementary,b,鲁棒性与失败图谱,source_data\figS07_robustness_failures\panel_b.csv,346786f2d87038b4491d664280e1beea34b2d0e74b319afba0d534d8c1c60012,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×扰动,条件均值,返航率,figures/figS07_robustness_failures
figS07_robustness_failures,supplementary,c,鲁棒性与失败图谱,source_data\figS07_robustness_failures\panel_c.csv,6cf04d122ae87b92dd66edf5fbee4d56802ef4871c9001216e1a82e571e383fe,由脚本中的冻结模型、评价家庭、域和任务ID条件确定；不按结果筛选,模型×扰动,条件均值,违规率,figures/figS07_robustness_failures
