path,category,reason,kind,bytes
PPO_Pointer综合评价统计判优与顶刊级制图计划_v3.md,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,17495
__pycache__,environment_clutter,缓存、IDE配置或空展示目录,directory,2907799
export_v2_modeling_image.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,21847
logs,environment_clutter,缓存、IDE配置或空展示目录,directory,0
paper_publication_analysis.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,55982
paper_publication_figures.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,117684
render_animations_to_videos.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,29338
rendered_videos,environment_clutter,缓存、IDE配置或空展示目录,directory,0
run_algorithms_3d.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,51376
static_images,environment_clutter,缓存、IDE配置或空展示目录,directory,0
training_runs,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,101470659
trajectories_3d,environment_clutter,缓存、IDE配置或空展示目录,directory,0
v2_3d_visualization.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,25858
v3_2_12_mixed_threshold_probe.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,5332
v3_2_12_post_generation_worker.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,5881
v3_2_12_real_attempt_shard.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,5935
v3_2_12_synthetic_attempt_shard.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,4870
v3_2_12_threshold_probe.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3701
v3_2_13_assignment_relaxation_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3147
v3_2_13_compact_resource_bound_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3184
v3_2_13_flow_feasibility_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3117
v3_2_13_high_threshold_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3322
v3_2_13_low_route_calibration_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,6221
v3_2_13_low_threshold_upper_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3176
v3_2_13_migrate_real_shards.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,4990
v3_2_13_subtour_cut_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3597
v3_2_13_synthetic_tasks.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,10038
v3_2_13_threshold_feasibility_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,3133
v3_2_13_witness_diagnostic.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,4774
v3_2_4_certificate_search.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,8092
v3_export_static_images.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,26441
v3_multi_window_compare.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,15700
v4_metrics_evaluation.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,42415
v5_fpv_animation.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,22802
v6_fpv_animation.py,legacy_code,第一轮展示、旧分析或不可达诊断代码,file,29729
paper_runs/analysis,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,1218579
paper_runs/audits,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,14181
paper_runs/baselines,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,361014080
paper_runs/difficulty_v2_1,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,2159578
paper_runs/difficulty_v2_1_probe_round1,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,42579
paper_runs/difficulty_v2_1_probe_round2,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,108019
paper_runs/dispatcher_smoke,legacy_experiment,已被v3.2.14第二次正式实验替代,directory,15168
